facet,year,series,ours,ft,diff,abs_diff,audit
2000-2022,2000,Actual,0.0,0.0,0.0,0.0,chart01_ipums
2000-2022,2000,Counterfactual,0.0,0.0,0.0,0.0,chart01_ipums
2000-2022,2001,Actual,-2.368271152918333,0.2662618982026,-2.634533051120933,2.634533051120933,chart01_ipums
2000-2022,2001,Counterfactual,0.0,0.589653777236123,-0.589653777236123,0.589653777236123,chart01_ipums
2000-2022,2002,Actual,-3.886327443261872,-0.255132474032536,-3.631194969229336,3.631194969229336,chart01_ipums
2000-2022,2002,Counterfactual,-1.1121334029327579,-0.13960051628554,-0.9725328866472178,0.9725328866472178,chart01_ipums
2000-2022,2003,Actual,-10.27747834897994,-0.726587680927452,-9.550890668052489,9.550890668052489,chart01_ipums
2000-2022,2003,Counterfactual,-7.208533063377754,-6.6709227765443,-0.5376102868334538,0.5376102868334538,chart01_ipums
2000-2022,2004,Actual,-8.378559090343307,-1.48216784497747,-6.896391245365837,6.896391245365837,chart01_ipums
2000-2022,2004,Counterfactual,-4.4752577346005795,-3.46265814270302,-1.0125995918975597,1.0125995918975597,chart01_ipums
2000-2022,2005,Actual,-4.0918308481303844,-1.96882366923387,-2.1230071788965144,2.1230071788965144,chart01_ipums
2000-2022,2005,Counterfactual,0.43216543379023253,1.37352145887304,-0.9413560250828075,0.9413560250828075,chart01_ipums
2000-2022,2006,Actual,-8.452044158682659,-5.09160812108196,-3.3604360376006985,3.3604360376006985,chart01_ipums
2000-2022,2006,Counterfactual,-1.1748510942244939,-0.409054878001129,-0.7657962162233649,0.7657962162233649,chart01_ipums
2000-2022,2007,Actual,-8.6258235364568,-5.86442860165764,-2.761394934799159,2.761394934799159,chart01_ipums
2000-2022,2007,Counterfactual,-0.23468742027485945,0.0185204588386085,-0.2532078791134679,0.2532078791134679,chart01_ipums
2000-2022,2008,Actual,-4.109034590132687,-7.24362023064089,3.1345856405082033,3.1345856405082033,chart01_ipums
2000-2022,2008,Counterfactual,6.083460285884268,6.53725871360373,-0.45379842771946244,0.45379842771946244,chart01_ipums
2000-2022,2009,Actual,-7.062647398933175,-8.77420364563905,1.7115562467058751,1.7115562467058751,chart01_ipums
2000-2022,2009,Counterfactual,4.345242824077711,4.96161922162179,-0.6163763975440792,0.6163763975440792,chart01_ipums
2000-2022,2010,Actual,-12.023717359275087,-8.97373319571786,-3.0499841635572267,3.0499841635572267,chart01_ipums
2000-2022,2010,Counterfactual,-0.29013658159627864,0.196004252175314,-0.4861408337715927,0.4861408337715927,chart01_ipums
2000-2022,2011,Actual,-13.451343144066941,-10.4450114186192,-3.0063317254477404,3.0063317254477404,chart01_ipums
2000-2022,2011,Counterfactual,-0.32918833625865673,0.291682812917088,-0.6208711491757447,0.6208711491757447,chart01_ipums
2000-2022,2012,Actual,-15.485735443379834,-10.8364392813974,-4.649296161982434,4.649296161982434,chart01_ipums
2000-2022,2012,Counterfactual,-1.7346340813379713,-3.80597444455273,2.071340363214759,2.071340363214759,chart01_ipums
2000-2022,2013,Actual,-17.648176818781824,-11.5352357253368,-6.1129410934450235,6.1129410934450235,chart01_ipums
2000-2022,2013,Counterfactual,-3.578327645568924,-3.57667046513038,-0.0016571804385439037,0.0016571804385439037,chart01_ipums
2000-2022,2014,Actual,-18.60080965969625,-11.9614032698962,-6.639406389800049,6.639406389800049,chart01_ipums
2000-2022,2014,Counterfactual,-3.9848165109235723,-3.90705618114696,-0.07776032977661229,0.07776032977661229,chart01_ipums
2000-2022,2015,Actual,-19.887279900580022,-12.0313594070686,-7.855920493511423,7.855920493511423,chart01_ipums
2000-2022,2015,Counterfactual,-5.112421237565911,-5.1119172398006,-0.0005039977653114036,0.0005039977653114036,chart01_ipums
2000-2022,2016,Actual,-18.739131467619742,-12.9864747363176,-5.752656731302142,5.752656731302142,chart01_ipums
2000-2022,2016,Counterfactual,-3.062960041364049,-3.07281287307339,0.009852831709340926,0.009852831709340926,chart01_ipums
2000-2022,2017,Actual,-19.86124540880575,-12.4813143331527,-7.379931075653051,7.379931075653051,chart01_ipums
2000-2022,2017,Counterfactual,-4.5828018643510715,-3.99673756184522,-0.5860643025058514,0.5860643025058514,chart01_ipums
2000-2022,2018,Actual,-21.348923251282404,-12.7897486757047,-8.559174575577703,8.559174575577703,chart01_ipums
2000-2022,2018,Counterfactual,-5.6503061867030135,-5.05041997849038,-0.5998862082126335,0.5998862082126335,chart01_ipums
2000-2022,2019,Actual,-24.030059963361527,-12.8982689092111,-11.131791054150428,11.131791054150428,chart01_ipums
2000-2022,2019,Counterfactual,-8.253539962893052,-7.51404013428875,-0.739499828604302,0.739499828604302,chart01_ipums
2000-2022,2020,Actual,-24.232340219137292,,,,chart01_ipums
2000-2022,2020,Counterfactual,-7.527260811178261,,,,chart01_ipums
2000-2022,2021,Actual,-22.672637363207283,-13.7364504353209,-8.936186927886382,8.936186927886382,chart01_ipums
2000-2022,2021,Counterfactual,-5.421387939865263,-4.8098887304228,-0.6114992094424627,0.6114992094424627,chart01_ipums
2000-2022,2022,Actual,-21.342662583768067,-14.4548227718969,-6.887839811871167,6.887839811871167,chart01_ipums
2000-2022,2022,Counterfactual,-3.0110807318688093,-2.47450458505207,-0.5365761468167394,0.5365761468167394,chart01_ipums
