year,age_lo,age_hi,status,share,rate,weight,share_baseline
1960,15,19,unmarried,0.33499999999999996,0.027600000000000003,5,0.33499999999999996
1960,15,19,married,0.665,0.04968000000000001,5,0.665
1960,35,39,unmarried,0.33499999999999996,0.009699999999999999,5,0.33499999999999996
1960,35,39,married,0.665,0.017459999999999996,5,0.665
1960,30,34,unmarried,0.33499999999999996,0.0211,5,0.33499999999999996
1960,30,34,married,0.665,0.03798,5,0.665
1960,40,44,unmarried,0.33499999999999996,0.0026,5,0.33499999999999996
1960,40,44,married,0.665,0.00468,5,0.665
1960,25,29,unmarried,0.33499999999999996,0.034,5,0.33499999999999996
1960,25,29,married,0.665,0.061200000000000004,5,0.665
1960,20,24,unmarried,0.33499999999999996,0.0409,5,0.33499999999999996
1960,20,24,married,0.665,0.07362,5,0.665
1970,30,34,unmarried,0.375,0.027100000000000003,5,0.33499999999999996
1970,30,34,married,0.625,0.048780000000000004,5,0.665
1970,25,29,unmarried,0.375,0.037,5,0.33499999999999996
1970,25,29,married,0.625,0.06659999999999999,5,0.665
1970,35,39,unmarried,0.375,0.0136,5,0.33499999999999996
1970,35,39,married,0.625,0.02448,5,0.665
1970,15,19,unmarried,0.375,0.0224,5,0.33499999999999996
1970,15,19,married,0.625,0.04032,5,0.665
1970,20,24,unmarried,0.375,0.0384,5,0.33499999999999996
1970,20,24,married,0.625,0.06912,5,0.665
1970,40,44,unmarried,0.375,0.0035,5,0.33499999999999996
1970,40,44,married,0.625,0.0063,5,0.665
1980,15,19,unmarried,0.405,0.027600000000000003,5,0.33499999999999996
1980,15,19,married,0.595,0.04968000000000001,5,0.665
1980,35,39,unmarried,0.405,0.009699999999999999,5,0.33499999999999996
1980,35,39,married,0.595,0.017459999999999996,5,0.665
1980,30,34,unmarried,0.405,0.0211,5,0.33499999999999996
1980,30,34,married,0.595,0.03798,5,0.665
1980,40,44,unmarried,0.405,0.0026,5,0.33499999999999996
1980,40,44,married,0.595,0.00468,5,0.665
1980,25,29,unmarried,0.405,0.034,5,0.33499999999999996
1980,25,29,married,0.595,0.061200000000000004,5,0.665
1980,20,24,unmarried,0.405,0.0409,5,0.33499999999999996
1980,20,24,married,0.595,0.07362,5,0.665
2000,15,44,married,0.551,0.0897,30,0.551
2000,15,44,unmarried,0.44899999999999995,0.045200000000000004,30,0.44899999999999995
2001,20,24,unmarried,0.45219999999999994,0.0708,5,0.44899999999999995
2001,20,24,married,0.5478000000000001,0.12744,5,0.551
2001,35,39,unmarried,0.45219999999999994,0.020399999999999998,5,0.44899999999999995
2001,35,39,married,0.5478000000000001,0.036719999999999996,5,0.551
2001,15,19,unmarried,0.45219999999999994,0.0368,5,0.44899999999999995
2001,15,19,married,0.5478000000000001,0.06624000000000001,5,0.551
2001,30,34,unmarried,0.45219999999999994,0.040299999999999996,5,0.44899999999999995
2001,30,34,married,0.5478000000000001,0.07254,5,0.551
2001,40,44,unmarried,0.45219999999999994,0.0053,5,0.44899999999999995
2001,40,44,married,0.5478000000000001,0.00954,5,0.551
2001,25,29,unmarried,0.45219999999999994,0.0596,5,0.44899999999999995
2001,25,29,married,0.5478000000000001,0.10728,5,0.551
2002,35,39,unmarried,0.4553999999999999,0.0209,5,0.44899999999999995
2002,35,39,married,0.5446000000000001,0.03762,5,0.551
2002,25,29,unmarried,0.4553999999999999,0.062,5,0.44899999999999995
2002,25,29,married,0.5446000000000001,0.1116,5,0.551
2002,15,19,unmarried,0.4553999999999999,0.0351,5,0.44899999999999995
2002,15,19,married,0.5446000000000001,0.06318,5,0.551
2002,40,44,unmarried,0.4553999999999999,0.0054,5,0.44899999999999995
2002,40,44,married,0.5446000000000001,0.009720000000000001,5,0.551
2002,30,34,unmarried,0.4553999999999999,0.041299999999999996,5,0.44899999999999995
2002,30,34,married,0.5446000000000001,0.07433999999999999,5,0.551
2002,20,24,unmarried,0.4553999999999999,0.07,5,0.44899999999999995
2002,20,24,married,0.5446000000000001,0.12600000000000003,5,0.551
2003,30,34,unmarried,0.4586,0.0442,5,0.44899999999999995
2003,30,34,married,0.5414,0.07956,5,0.551
2003,35,39,unmarried,0.4586,0.0223,5,0.44899999999999995
2003,35,39,married,0.5414,0.04014,5,0.551
2003,15,19,unmarried,0.4586,0.0343,5,0.44899999999999995
2003,15,19,married,0.5414,0.061739999999999996,5,0.551
2003,20,24,unmarried,0.4586,0.071,5,0.44899999999999995
2003,20,24,married,0.5414,0.1278,5,0.551
2003,25,29,unmarried,0.4586,0.06620000000000001,5,0.44899999999999995
2003,25,29,married,0.5414,0.11916000000000002,5,0.551
2003,40,44,unmarried,0.4586,0.0058,5,0.44899999999999995
2003,40,44,married,0.5414,0.01044,5,0.551
2004,20,24,unmarried,0.4618,0.0723,5,0.44899999999999995
2004,20,24,married,0.5382,0.13014,5,0.551
2004,40,44,unmarried,0.4618,0.006,5,0.44899999999999995
2004,40,44,married,0.5382,0.0108,5,0.551
2004,15,19,unmarried,0.4618,0.0342,5,0.44899999999999995
2004,15,19,married,0.5382,0.061560000000000004,5,0.551
2004,30,34,unmarried,0.4618,0.047299999999999995,5,0.44899999999999995
2004,30,34,married,0.5382,0.08514,5,0.551
2004,25,29,unmarried,0.4618,0.0691,5,0.44899999999999995
2004,25,29,married,0.5382,0.12437999999999999,5,0.551
2004,35,39,unmarried,0.4618,0.0235,5,0.44899999999999995
2004,35,39,married,0.5382,0.042300000000000004,5,0.551
2005,15,44,married,0.535,0.0854,30,0.551
2005,15,44,unmarried,0.46499999999999997,0.0493,30,0.44899999999999995
2006,20,24,unmarried,0.4676,0.07909999999999999,5,0.44899999999999995
2006,20,24,married,0.5324,0.14237999999999998,5,0.551
2006,30,34,unmarried,0.4676,0.055299999999999995,5,0.44899999999999995
2006,30,34,married,0.5324,0.09953999999999999,5,0.551
2006,40,44,unmarried,0.4676,0.0065,5,0.44899999999999995
2006,40,44,married,0.5324,0.0117,5,0.551
2006,25,29,unmarried,0.4676,0.07540000000000001,5,0.44899999999999995
2006,25,29,married,0.5324,0.13572,5,0.551
2006,15,19,unmarried,0.4676,0.0355,5,0.44899999999999995
2006,15,19,married,0.5324,0.0639,5,0.551
2006,35,39,unmarried,0.4676,0.0268,5,0.44899999999999995
2006,35,39,married,0.5324,0.048240000000000005,5,0.551
2007,30,34,unmarried,0.47019999999999995,0.058,5,0.44899999999999995
2007,30,34,married,0.5298,0.1044,5,0.551
2007,40,44,unmarried,0.47019999999999995,0.0068,5,0.44899999999999995
2007,40,44,married,0.5298,0.01224,5,0.551
2007,35,39,unmarried,0.47019999999999995,0.0287,5,0.44899999999999995
2007,35,39,married,0.5298,0.05166,5,0.551
2007,25,29,unmarried,0.47019999999999995,0.07690000000000001,5,0.44899999999999995
2007,25,29,married,0.5298,0.13842000000000002,5,0.551
2007,20,24,unmarried,0.47019999999999995,0.0798,5,0.44899999999999995
2007,20,24,married,0.5298,0.14364,5,0.551
2007,15,19,unmarried,0.47019999999999995,0.0365,5,0.44899999999999995
2007,15,19,married,0.5298,0.0657,5,0.551
2008,40,44,unmarried,0.4728,0.0075,5,0.44899999999999995
2008,40,44,married,0.5272,0.0135,5,0.551
2008,15,19,unmarried,0.4728,0.0359,5,0.44899999999999995
2008,15,19,married,0.5272,0.06462000000000001,5,0.551
2008,30,34,unmarried,0.4728,0.0588,5,0.44899999999999995
2008,30,34,married,0.5272,0.10584,5,0.551
2008,25,29,unmarried,0.4728,0.0757,5,0.44899999999999995
2008,25,29,married,0.5272,0.13626000000000002,5,0.551
2008,20,24,unmarried,0.4728,0.07809999999999999,5,0.44899999999999995
2008,20,24,married,0.5272,0.14057999999999998,5,0.551
2008,35,39,unmarried,0.4728,0.030199999999999998,5,0.44899999999999995
2008,35,39,married,0.5272,0.05436,5,0.551
2009,30,34,unmarried,0.47539999999999993,0.0571,5,0.44899999999999995
2009,30,34,married,0.5246000000000001,0.10278,5,0.551
2009,20,24,unmarried,0.47539999999999993,0.07440000000000001,5,0.44899999999999995
2009,20,24,married,0.5246000000000001,0.13392,5,0.551
2009,15,19,unmarried,0.47539999999999993,0.034,5,0.44899999999999995
2009,15,19,married,0.5246000000000001,0.061200000000000004,5,0.551
2009,35,39,unmarried,0.47539999999999993,0.0297,5,0.44899999999999995
2009,35,39,married,0.5246000000000001,0.05346,5,0.551
2009,25,29,unmarried,0.47539999999999993,0.073,5,0.44899999999999995
2009,25,29,married,0.5246000000000001,0.1314,5,0.551
2009,40,44,unmarried,0.47539999999999993,0.0078,5,0.44899999999999995
2009,40,44,married,0.5246000000000001,0.01404,5,0.551
2010,15,44,married,0.522,0.0841,30,0.551
2010,15,44,unmarried,0.478,0.047799999999999995,30,0.44899999999999995
2011,20,24,unmarried,0.481,0.06670000000000001,5,0.44899999999999995
2011,20,24,married,0.519,0.12006000000000001,5,0.551
2011,25,29,unmarried,0.481,0.0678,5,0.44899999999999995
2011,25,29,married,0.519,0.12204,5,0.551
2011,40,44,unmarried,0.481,0.008199999999999999,5,0.44899999999999995
2011,40,44,married,0.519,0.014759999999999999,5,0.551
2011,30,34,unmarried,0.481,0.0562,5,0.44899999999999995
2011,30,34,married,0.519,0.10116,5,0.551
2011,35,39,unmarried,0.481,0.0299,5,0.44899999999999995
2011,35,39,married,0.519,0.05382,5,0.551
2011,15,19,unmarried,0.481,0.028399999999999998,5,0.44899999999999995
2011,15,19,married,0.519,0.05112,5,0.551
2012,30,34,unmarried,0.484,0.056299999999999996,5,0.44899999999999995
2012,30,34,married,0.516,0.10134,5,0.551
2012,15,19,unmarried,0.484,0.026699999999999998,5,0.44899999999999995
2012,15,19,married,0.516,0.04806,5,0.551
2012,35,39,unmarried,0.484,0.030899999999999997,5,0.44899999999999995
2012,35,39,married,0.516,0.055619999999999996,5,0.551
2012,20,24,unmarried,0.484,0.06470000000000001,5,0.44899999999999995
2012,20,24,married,0.516,0.11646000000000002,5,0.551
2012,40,44,unmarried,0.484,0.0085,5,0.44899999999999995
2012,40,44,married,0.516,0.015300000000000001,5,0.551
2012,25,29,unmarried,0.484,0.06720000000000001,5,0.44899999999999995
2012,25,29,married,0.516,0.12096000000000003,5,0.551
2013,35,39,unmarried,0.487,0.0318,5,0.44899999999999995
2013,35,39,married,0.513,0.057240000000000006,5,0.551
2013,25,29,unmarried,0.487,0.06670000000000001,5,0.44899999999999995
2013,25,29,married,0.513,0.12006000000000001,5,0.551
2013,20,24,unmarried,0.487,0.0631,5,0.44899999999999995
2013,20,24,married,0.513,0.11358000000000001,5,0.551
2013,15,19,unmarried,0.487,0.024,5,0.44899999999999995
2013,15,19,married,0.513,0.0432,5,0.551
2013,30,34,unmarried,0.487,0.056600000000000004,5,0.44899999999999995
2013,30,34,married,0.513,0.10188000000000001,5,0.551
2013,40,44,unmarried,0.487,0.0083,5,0.44899999999999995
2013,40,44,married,0.513,0.01494,5,0.551
2014,40,44,unmarried,0.49,0.0085,5,0.44899999999999995
2014,40,44,married,0.51,0.015300000000000001,5,0.551
2014,30,34,unmarried,0.49,0.0581,5,0.44899999999999995
2014,30,34,married,0.51,0.10458,5,0.551
2014,15,19,unmarried,0.49,0.022,5,0.44899999999999995
2014,15,19,married,0.51,0.039599999999999996,5,0.551
2014,20,24,unmarried,0.49,0.0616,5,0.44899999999999995
2014,20,24,married,0.51,0.11088,5,0.551
2014,25,29,unmarried,0.49,0.0676,5,0.44899999999999995
2014,25,29,married,0.51,0.12168,5,0.551
2014,35,39,unmarried,0.49,0.0334,5,0.44899999999999995
2014,35,39,married,0.51,0.06012,5,0.551
2015,15,44,married,0.507,0.0831,30,0.551
2015,15,44,unmarried,0.493,0.0435,30,0.44899999999999995
2020,15,44,married,0.492,0.083,30,0.551
2020,15,44,unmarried,0.508,0.0407,30,0.44899999999999995
2021,15,44,married,0.489,0.0836,30,0.551
2021,15,44,unmarried,0.511,0.0378,30,0.44899999999999995
2022,15,44,married,0.486,0.0842,30,0.551
2022,15,44,unmarried,0.514,0.037200000000000004,30,0.44899999999999995
